"# CarMaker trajectory export, merged from Orientations_1.xls + Translations_2.xls"
"# Frame: ISO 8855 (X forward, Y left, Z up). Units: time=s, tx/ty/tz=m, pitch/roll/yaw=deg"
# Trailing repeated end-of-sim samples have been removed via dedup-by-time.
time_s,tx_m,ty_m,tz_m,pitch_deg,roll_deg,yaw_deg
2.790000,-72.369194,0.650181,0.000000,-0.012689,-0.148407,180.857336
2.800000,-72.617050,0.646410,0.000000,-0.012735,-0.148605,180.850041
2.810000,-72.864914,0.642670,0.000000,-0.012778,-0.148783,180.842746
2.820000,-73.112801,0.638961,0.000000,-0.012818,-0.148939,180.835465
2.830000,-73.360695,0.635282,0.000000,-0.012856,-0.149075,180.828198
2.840000,-73.608604,0.631634,0.000000,-0.012892,-0.149190,180.820917
2.850000,-73.856529,0.628017,0.000000,-0.012925,-0.149285,180.813664
2.860000,-74.104462,0.624431,0.000000,-0.012955,-0.149360,180.806410
2.870000,-74.352409,0.620875,0.000000,-0.012984,-0.149416,180.799170
2.880000,-74.600372,0.617350,0.000000,-0.013009,-0.149451,180.791944
2.890000,-74.848343,0.613856,0.000000,-0.013033,-0.149468,180.784717
2.900000,-75.096329,0.610392,0.000000,-0.013054,-0.149465,180.777504
2.910000,-75.344330,0.606959,0.000000,-0.013073,-0.149443,180.770319
2.920000,-75.592346,0.603556,0.000000,-0.013089,-0.149403,180.763134
2.930000,-75.840370,0.600183,0.000000,-0.013103,-0.149345,180.755962
2.940000,-76.088409,0.596842,0.000000,-0.013116,-0.149269,180.748818
2.950000,-76.336464,0.593530,0.000000,-0.013127,-0.149175,180.741687
2.960000,-76.584526,0.590249,0.000000,-0.013136,-0.149063,180.734556
2.970000,-76.832603,0.586998,0.000000,-0.013144,-0.148933,180.727467
2.980000,-77.080696,0.583777,0.000000,-0.013151,-0.148787,180.720377
2.990000,-77.328804,0.580586,0.000000,-0.013157,-0.148623,180.713314
3.000000,-77.576920,0.577426,0.000000,-0.013161,-0.148441,180.706279
3.010000,-77.825050,0.574295,0.000000,-0.013165,-0.148243,180.699258
3.020000,-78.073189,0.571194,0.000000,-0.013168,-0.148028,180.692250
3.030000,-78.321350,0.568124,0.000000,-0.013170,-0.147796,180.685270
3.040000,-78.569519,0.565082,0.000000,-0.013172,-0.147547,180.678316
3.050000,-78.817696,0.562071,0.000000,-0.013173,-0.147281,180.671377
3.060000,-79.065895,0.559089,0.000000,-0.013174,-0.147000,180.664465
3.070000,-79.314102,0.556137,0.000000,-0.013174,-0.146702,180.657580
